NAME,NAME.id,LOCATION.x,LOCATION.y,POSITION,SHAPE.length,SHAPE.orientation,SHAPE.width
b8618,c94aae2f-dc87-4a1c-8ea7-65a31e6fd291,243.01585,63.403122,5,14.933253,114.41007,6.1738167
b8714,12ca5125-594c-4924-a94b-d62b5dc78fc4,243.56902,63.05498,6,14.831231,116.79927,6.017514
b8462,ec4d9ff8-8f48-4691-aa62-d1ba0d4f75d5,259.56473,74.78876,3,22.350964,98.263084,6.3545833
b8546,554bb3e6-4c9a-4d67-9b93-115cd2dc3821,258.09442,75.170944,4,22.683987,100.31533,6.470967
b8619,6058eafa-aaf3-4781-a2aa-a8ef76b85f9c,259.57678,74.61846,5,23.200224,97.63718,6.2590523
b8732,1987e185-63be-4a97-8c9b-a0adefa071ed,260.4095,73.98418,6,24.000296,94.61279,5.9313693
b8473,a7cf821b-32e7-4d93-9855-b8e0df5fc767,316.04855,68.54686,3,18.643862,70.04962,7.2659006
b8563,928769a9-817c-42ab-a375-3de60bc0779d,314.9169,68.82823,4,18.854382,84.38298,6.9167824
b8633,96adc1af-0547-42a1-82ca-a433b75b5706,315.47095,69.08835,5,18.846828,79.91614,6.98294
b8723,b6a8e5d9-d705-422e-a4ae-efe76a0e1cc9,315.9436,68.5791,6,18.80518,85.01895,6.4257164
b8555,398e2795-5ed5-4adb-8a4b-d69648c7e005,292.3699,69.57634,4,18.549162,79.26099,6.9105363
b8629,e36aac29-cc2a-43a4-89c8-3f6c704a42c7,292.2078,68.27987,5,19.236773,91.84433,6.9872293
b8718,8436bebb-72a2-4582-9382-88455832aeae,293.45016,68.48764,6,18.830887,82.61351,7.1224594
b8640,e9992f8b-e20e-4593-a114-11746bf7c6f4,112.21015,68.05715,5,19.00183,61.426636,6.5116606
b8729,223e3da0-cf38-4010-821e-3377d6b14a16,112.36204,67.9246,6,20.061861,60.635674,6.212938
b8641,3e9fbb08-9e2b-4a79-8a92-39c3a81802c4,128.15828,58.674168,5,16.233454,57.175518,6.08185
b8730,911403b6-ff77-4cdb-b32e-2c54608dabde,128.52246,58.321487,6,15.377192,58.38149,6.4982066
b8653,ae4f46ac-6f4c-418d-911a-5efbf5758098,145.07787,55.67087,6,12.850284,79.045944,5.5703874
b8660,92231693-2560-4366-b3a5-5e83afbab03e,160.85892,53.93702,6,14.401603,87.35825,4.6944766
b8745,61f11897-8037-4626-a150-33f86329274d,143.89082,53.317635,7,12.64959,80.815216,6.0970325
b8821,f7c68138-51a9-48d6-a4e1-d07ad1064d78,143.8972,53.722157,8,13.499881,81.78272,5.8369865
b8751,9678ba3a-bd59-4a42-b7cf-f2c524f85be8,160.98123,51.586914,7,13.967803,86.31072,4.826561
b8830,f1d6baff-be7b-4e84-868f-89a85b0c0f8c,161.08174,52.360855,8,13.616877,89.83325,4.353282
